car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem
1,3,alfa-romero giulia,gas,std,two,convertible,rwd,front,dohc,four,mpfi
2,3,alfa-romero stelvio,gas,std,two,convertible,rwd,front,dohc,four,mpfi
3,1,alfa-romero Quadrifoglio,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
4,2,audi 100 ls,gas,std,four,sedan,fwd,front,ohc,four,mpfi
5,2,audi 100ls,gas,std,four,sedan,4wd,front,ohc,five,mpfi
6,2,audi fox,gas,std,two,sedan,fwd,front,ohc,five,mpfi
7,1,audi 100ls,gas,std,four,sedan,fwd,front,ohc,five,mpfi
8,1,audi 5000,gas,std,four,wagon,fwd,front,ohc,five,mpfi
9,1,audi 4000,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi
10,0,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,front,ohc,five,mpfi
11,2,bmw 320i,gas,std,two,sedan,rwd,front,ohc,four,mpfi
12,0,bmw 320i,gas,std,four,sedan,rwd,front,ohc,four,mpfi
13,0,bmw x1,gas,std,two,sedan,rwd,front,ohc,six,mpfi
14,0,bmw x3,gas,std,four,sedan,rwd,front,ohc,six,mpfi
15,1,bmw z4,gas,std,four,sedan,rwd,front,ohc,six,mpfi
16,0,bmw x4,gas,std,four,sedan,rwd,front,ohc,six,mpfi
17,0,bmw x5,gas,std,two,sedan,rwd,front,ohc,six,mpfi
18,0,bmw x3,gas,std,four,sedan,rwd,front,ohc,six,mpfi
19,2,chevrolet impala,gas,std,two,hatchback,fwd,front,l,three,2bbl
20,1,chevrolet monte carlo,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
21,0,chevrolet vega 2300,gas,std,four,sedan,fwd,front,ohc,four,2bbl
22,1,dodge rampage,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
23,1,dodge challenger se,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
24,1,dodge d200,gas,turbo,two,hatchback,fwd,front,ohc,four,mpfi
25,1,dodge monaco (sw),gas,std,four,hatchback,fwd,front,ohc,four,2bbl
26,1,dodge colt hardtop,gas,std,four,sedan,fwd,front,ohc,four,2bbl
27,1,dodge colt (sw),gas,std,four,sedan,fwd,front,ohc,four,2bbl
28,1,dodge coronet custom,gas,turbo,two,sedan,fwd,front,ohc,four,mpfi
29,-1,dodge dart custom,gas,std,four,wagon,fwd,front,ohc,four,2bbl
30,3,dodge coronet custom (sw),gas,turbo,two,hatchback,fwd,front,ohc,four,mfi
31,2,honda civic,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
32,2,honda civic cvcc,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
33,1,honda civic,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
34,1,honda accord cvcc,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
35,1,honda civic cvcc,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
36,0,honda accord lx,gas,std,four,sedan,fwd,front,ohc,four,1bbl
37,0,honda civic 1500 gl,gas,std,four,wagon,fwd,front,ohc,four,1bbl
38,0,honda accord,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
39,0,honda civic 1300,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
40,0,honda prelude,gas,std,four,sedan,fwd,front,ohc,four,1bbl
41,0,honda accord,gas,std,four,sedan,fwd,front,ohc,four,1bbl
42,0,honda civic,gas,std,four,sedan,fwd,front,ohc,four,mpfi
43,1,honda civic (auto),gas,std,two,sedan,fwd,front,ohc,four,2bbl
44,0,isuzu MU-X,gas,std,four,sedan,rwd,front,ohc,four,2bbl
45,1,isuzu D-Max ,gas,std,two,sedan,fwd,front,ohc,four,2bbl
46,0,isuzu D-Max V-Cross,gas,std,four,sedan,fwd,front,ohc,four,2bbl
47,2,isuzu D-Max ,gas,std,two,hatchback,rwd,front,ohc,four,spfi
48,0,jaguar xj,gas,std,four,sedan,rwd,front,dohc,six,mpfi
49,0,jaguar xf,gas,std,four,sedan,rwd,front,dohc,six,mpfi
50,0,jaguar xk,gas,std,two,sedan,rwd,front,ohcv,twelve,mpfi
51,1,maxda rx3,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
52,1,maxda glc deluxe,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
53,1,mazda rx2 coupe,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
54,1,mazda rx-4,gas,std,four,sedan,fwd,front,ohc,four,2bbl
55,1,mazda glc deluxe,gas,std,four,sedan,fwd,front,ohc,four,2bbl
56,3,mazda 626,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
57,3,mazda glc,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
58,3,mazda rx-7 gs,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
59,3,mazda glc 4,gas,std,two,hatchback,rwd,front,rotor,two,mpfi
60,1,mazda 626,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
61,0,mazda glc custom l,gas,std,four,sedan,fwd,front,ohc,four,2bbl
62,1,mazda glc custom,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
63,0,mazda rx-4,gas,std,four,sedan,fwd,front,ohc,four,2bbl
64,0,mazda glc deluxe,diesel,std,four,sedan,fwd,front,ohc,four,idi
65,0,mazda 626,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
66,0,mazda glc,gas,std,four,sedan,rwd,front,ohc,four,mpfi
67,0,mazda rx-7 gs,diesel,std,four,sedan,rwd,front,ohc,four,idi
68,-1,buick electra 225 custom,diesel,turbo,four,sedan,rwd,front,ohc,five,idi
69,-1,buick century luxus (sw),diesel,turbo,four,wagon,rwd,front,ohc,five,idi
70,0,buick century,diesel,turbo,two,hardtop,rwd,front,ohc,five,idi
71,-1,buick skyhawk,diesel,turbo,four,sedan,rwd,front,ohc,five,idi
72,-1,buick opel isuzu deluxe,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi
73,3,buick skylark,gas,std,two,convertible,rwd,front,ohcv,eight,mpfi
74,0,buick century special,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi
75,1,buick regal sport coupe (turbo),gas,std,two,hardtop,rwd,front,ohcv,eight,mpfi
76,1,mercury cougar,gas,turbo,two,hatchback,rwd,front,ohc,four,mpfi
77,2,mitsubishi mirage,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
78,2,mitsubishi lancer,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
79,2,mitsubishi outlander,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
80,1,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
81,3,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
82,3,mitsubishi g4,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
83,3,mitsubishi outlander,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
84,3,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
85,3,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
86,1,mitsubishi montero,gas,std,four,sedan,fwd,front,ohc,four,2bbl
87,1,mitsubishi pajero,gas,std,four,sedan,fwd,front,ohc,four,2bbl
88,1,mitsubishi outlander,gas,turbo,four,sedan,fwd,front,ohc,four,spdi
89,-1,mitsubishi mirage g4,gas,std,four,sedan,fwd,front,ohc,four,spdi
90,1,Nissan versa,gas,std,two,sedan,fwd,front,ohc,four,2bbl
91,1,nissan gt-r,diesel,std,two,sedan,fwd,front,ohc,four,idi
92,1,nissan rogue,gas,std,two,sedan,fwd,front,ohc,four,2bbl
93,1,nissan latio,gas,std,four,sedan,fwd,front,ohc,four,2bbl
